기간,지역구,발생합계,살인발생,강도발생,강간강제추행발생,절도발생,폭력발생,검거합계,살인검거,강도검거,강간강제추행검거,절도검거,폭력검거
2017,강남구,7720,7,20,607,3130,3956,5321,7,24,496,1383,3411
2018,강남구,7513,10,14,600,3004,3885,5196,13,10,523,1317,3333
2019,강남구,7304,5,5,666,2970,3658,5069,3,6,562,1339,3159
2017,종로구,4057,7,10,253,1644,2143,4437,9,15,1412,905,2096
2017,관악구,5525,8,7,379,1979,3152,4154,7,6,323,1152,2666
2019,종로구,3846,4,7,238,1515,2082,4117,5,8,1143,1069,1892
2018,송파구,5807,5,6,309,2352,3135,4051,6,8,254,1034,2749
2017,영등포구,5969,15,5,455,2304,3190,4012,13,5,267,1108,2619
2017,강서구,5135,11,4,316,1888,2916,3927,11,6,253,1113,2544
2018,영등포구,5840,17,8,391,2292,3132,3922,15,6,267,1064,2570
2018,종로구,3690,6,3,236,1483,1962,3913,7,7,1100,969,1830
2017,송파구,5576,6,1,288,2274,3007,3870,6,3,242,1026,2593
2019,관악구,5328,13,10,408,2223,2674,3810,10,11,335,1085,2369
2019,송파구,5698,7,10,273,2416,2992,3799,8,10,230,1016,2535
2019,영등포구,5820,10,3,356,2409,3042,3787,10,3,239,1068,2467
2019,서초구,5542,5,7,616,2270,2644,3750,5,5,412,1118,2210
2018,관악구,5026,9,10,352,2012,2643,3653,9,12,305,1025,2302
2018,마포구,5172,6,6,473,2011,2676,3569,6,7,396,882,2278
2019,강서구,4924,8,3,306,2050,2557,3543,9,4,257,1077,2196
2017,마포구,5278,3,8,500,2094,2673,3499,3,8,429,837,2222
2018,강서구,4629,11,6,269,1724,2619,3469,9,3,246,982,2229
2017,구로구,4895,7,8,328,1725,2827,3408,8,6,181,869,2344
2017,중랑구,4571,5,3,172,1533,2858,3392,5,4,144,813,2426
2018,구로구,4810,8,9,250,1717,2826,3338,8,9,181,787,2353
2019,구로구,4707,10,3,226,1916,2552,3291,9,4,165,965,2148
