,지역구,공시지가 대비 5대범죄 발생,5대범죄,살인,강도,강간강제추행,절도,폭력,평균지가,랭크용,랭크
0,강남구,2018.0,7512.333333333333,7.333333333333333,13.0,624.3333333333334,3034.6666666666665,3833.0,8362000.0,0.08983895399824603,6.0
1,강동구,2018.0,4064.6666666666665,4.666666666666667,10.666666666666666,174.0,1603.3333333333333,2272.0,4539266.666666667,0.08954456667009354,5.0
2,강북구,2018.0,3556.0,7.333333333333333,5.666666666666667,190.66666666666666,1118.3333333333333,2234.0,2118366.6666666665,0.16786517914745638,20.0
3,강서구,2018.0,4896.0,10.0,4.333333333333333,297.0,1887.3333333333333,2697.3333333333335,2452213.3333333335,0.1996563648622197,21.0
4,관악구,2018.0,5293.0,10.0,9.0,379.6666666666667,2071.3333333333335,2823.0,1571440.0,0.3368248230921957,25.0
5,광진구,2018.0,4190.666666666667,5.666666666666667,7.0,254.33333333333334,1954.6666666666667,1969.0,2596233.3333333335,0.1614133295671935,19.0
6,구로구,2018.0,4804.0,8.333333333333334,6.666666666666667,268.0,1786.0,2735.0,3149733.3333333335,0.1525208483257842,17.0
7,금천구,2018.0,3221.0,5.666666666666667,7.333333333333333,197.66666666666666,1155.3333333333333,1855.0,2185560.0,0.14737641611303282,15.0
8,노원구,2018.0,4123.0,4.333333333333333,5.666666666666667,186.0,1486.0,2441.0,1233500.0,0.3342521280907985,23.0
9,도봉구,2018.0,2119.3333333333335,1.0,4.333333333333333,102.33333333333333,734.6666666666666,1277.0,1431373.3333333333,0.14806293256825614,16.0
10,동대문구,2018.0,3782.3333333333335,6.333333333333333,6.0,159.33333333333334,1508.3333333333333,2102.3333333333335,2961200.0,0.12772974920077446,12.0
11,동작구,2018.0,3276.6666666666665,2.6666666666666665,5.0,311.6666666666667,1235.0,1722.3333333333333,3751866.6666666665,0.08733430470165962,4.0
12,마포구,2018.0,5097.333333333333,3.6666666666666665,5.333333333333333,489.3333333333333,2098.3333333333335,2500.6666666666665,4147933.3333333335,0.12288850672624116,11.0
13,서대문구,2018.0,2952.6666666666665,3.6666666666666665,3.0,194.33333333333334,1172.6666666666667,1579.0,5484526.666666667,0.05383630796458885,3.0
14,서초구,2018.0,4992.0,6.333333333333333,8.333333333333334,518.6666666666666,1977.6666666666667,2481.0,5125126.666666667,0.0974024707031631,8.0
15,성동구,2018.0,2578.6666666666665,3.0,5.666666666666667,130.33333333333334,1013.6666666666666,1426.0,4918400.0,0.05242897419214921,2.0
16,성북구,2018.0,3117.6666666666665,5.666666666666667,4.0,177.33333333333334,1196.6666666666667,1734.0,2806593.3333333335,0.1110836625184981,9.0
17,송파구,2018.0,5693.666666666667,6.0,5.666666666666667,290.0,2347.3333333333335,3044.6666666666665,4911066.666666667,0.11593543832975864,10.0
18,양천구,2018.0,3537.0,3.6666666666666665,3.0,128.33333333333334,1483.6666666666667,1918.3333333333333,2575646.6666666665,0.13732473657101,13.0
19,영등포구,2018.0,5876.333333333333,14.0,5.333333333333333,400.6666666666667,2335.0,3121.3333333333335,2202013.3333333335,0.26686184158739573,22.0
20,용산구,2018.0,3594.6666666666665,1.6666666666666667,3.6666666666666665,310.0,1147.0,2132.3333333333335,3864653.3333333335,0.09301394864222405,7.0
21,은평구,2018.0,3784.3333333333335,5.666666666666667,2.0,204.0,1410.0,2162.6666666666665,2714113.3333333335,0.1394316621511752,14.0
22,종로구,2018.0,3864.3333333333335,5.666666666666667,6.666666666666667,242.33333333333334,1547.3333333333333,2062.3333333333335,2530773.3333333335,0.1526937747618646,18.0
23,중구,2018.0,4180.333333333333,1.6666666666666667,8.666666666666666,223.0,1967.6666666666667,1979.3333333333333,17859333.333333332,0.023406995408563218,1.0
24,중랑구,2018.0,4375.666666666667,6.333333333333333,3.3333333333333335,161.33333333333334,1575.0,2629.6666666666665,1308680.0,0.33435726584548303,24.0
