기간,지역구,살인,강도,강간강제추행,절도,폭력,5대범죄
2017,종로구,7,10,253,1644,2143,4057.0
2017,중구,1,9,267,1846,2061,4184.0
2017,용산구,1,5,327,1346,2381,4060.0
2017,성동구,1,3,132,1072,1559,2767.0
2017,광진구,6,13,261,2220,2146,4646.0
2017,동대문구,11,3,165,1547,2249,3975.0
2017,중랑구,5,3,172,1533,2858,4571.0
2017,성북구,7,8,173,1344,1902,3434.0
2017,강북구,8,7,208,1014,2156,3393.0
2017,도봉구,1,3,104,633,1258,1999.0
2017,노원구,4,9,180,1538,2478,4209.0
2017,은평구,6,4,230,1387,2256,3883.0
2017,서대문구,4,1,202,1230,1676,3113.0
2017,마포구,3,8,500,2094,2673,5278.0
2017,양천구,3,3,138,1590,2148,3882.0
2017,강서구,11,4,316,1888,2916,5135.0
2017,구로구,7,8,328,1725,2827,4895.0
2017,금천구,5,5,240,1141,1874,3265.0
2017,영등포구,15,5,455,2304,3190,5969.0
2017,동작구,1,7,396,1226,1700,3330.0
2017,관악구,8,7,379,1979,3152,5525.0
2017,서초구,9,13,470,1812,2404,4708.0
2017,강남구,7,20,607,3130,3956,7720.0
2017,송파구,6,1,288,2274,3007,5576.0
2017,강동구,5,10,172,1645,2429,4261.0
2018,종로구,6,3,236,1483,1962,3690.0
2018,중구,2,11,207,1855,1955,4030.0
2018,용산구,1,3,331,1096,1980,3411.0
2018,성동구,2,5,126,999,1325,2457.0
2018,광진구,7,2,229,1769,1908,3915.0
2018,동대문구,2,5,145,1447,2081,3680.0
2018,중랑구,4,3,174,1526,2581,4288.0
2018,성북구,7,1,183,1164,1687,3042.0
2018,강북구,8,7,188,1112,2122,3437.0
2018,도봉구,1,5,113,781,1349,2249.0
2018,노원구,5,5,194,1422,2381,4007.0
2018,은평구,8,1,188,1278,2115,3590.0
2018,서대문구,5,3,206,1062,1526,2802.0
2018,마포구,6,6,473,2011,2676,5172.0
2018,양천구,2,4,120,1384,2005,3515.0
2018,강서구,11,6,269,1724,2619,4629.0
2018,구로구,8,9,250,1717,2826,4810.0
2018,금천구,6,7,200,1168,1912,3293.0
2018,영등포구,17,8,391,2292,3132,5840.0
2018,동작구,3,7,288,1151,1651,3100.0
2018,관악구,9,10,352,2012,2643,5026.0
2018,서초구,5,5,470,1851,2395,4726.0
2018,강남구,10,14,600,3004,3885,7513.0
2018,송파구,5,6,309,2352,3135,5807.0
2018,강동구,3,7,170,1515,2224,3919.0
2019,종로구,4,7,238,1515,2082,3846.0
2019,중구,2,6,195,2202,1922,4327.0
2019,용산구,3,3,272,999,2036,3313.0
2019,성동구,6,9,133,970,1394,2512.0
2019,광진구,4,6,273,1875,1853,4011.0
2019,동대문구,6,10,168,1531,1977,3692.0
2019,중랑구,10,4,138,1666,2450,4268.0
2019,성북구,3,3,176,1082,1613,2877.0
2019,강북구,6,3,176,1229,2424,3838.0
2019,도봉구,1,5,90,790,1224,2110.0
2019,노원구,4,3,184,1498,2464,4153.0
2019,은평구,3,1,194,1565,2117,3880.0
2019,서대문구,2,5,175,1226,1535,2943.0
2019,마포구,2,2,495,2190,2153,4842.0
2019,양천구,6,2,127,1477,1602,3214.0
2019,강서구,8,3,306,2050,2557,4924.0
2019,구로구,10,3,226,1916,2552,4707.0
2019,금천구,6,10,153,1157,1779,3105.0
2019,영등포구,10,3,356,2409,3042,5820.0
2019,동작구,4,1,251,1328,1816,3400.0
2019,관악구,13,10,408,2223,2674,5328.0
2019,서초구,5,7,616,2270,2644,5542.0
2019,강남구,5,5,666,2970,3658,7304.0
2019,송파구,7,10,273,2416,2992,5698.0
2019,강동구,6,15,180,1650,2163,4014.0
