ID,지역구,기간,평균지가
0,강남구,2018,10627600.0
1,강남구,2017,4840000.0
2,강남구,2019,9618400.0
3,강동구,2018,3663200.0
4,강동구,2017,4905000.0
5,강동구,2019,5049600.0
6,강북구,2018,1259760.0
7,강북구,2019,3135340.0
8,강북구,2017,1960000.0
9,강서구,2018,1596760.0
10,강서구,2019,5595400.0
11,강서구,2017,164480.0
12,관악구,2017,2375300.0
13,관악구,2018,156260.0
14,관악구,2019,2182760.0
15,광진구,2019,3048400.0
16,광진구,2017,2327300.0
17,광진구,2018,2413000.0
18,구로구,2017,3345600.0
19,구로구,2018,4371600.0
20,구로구,2019,1732000.0
21,금천구,2017,2942600.0
22,금천구,2018,1230720.0
23,금천구,2019,2383360.0
24,노원구,2017,633020.0
25,노원구,2018,2162620.0
26,노원구,2019,904860.0
27,도봉구,2019,830380.0
28,도봉구,2018,1174540.0
29,도봉구,2017,2289200.0
30,동대문구,2017,2249000.0
31,동대문구,2018,4029400.0
32,동대문구,2019,2605200.0
33,동작구,2019,3516400.0
34,동작구,2018,3953600.0
35,동작구,2017,3785600.0
36,마포구,2017,1883200.0
37,마포구,2019,8458200.0
38,마포구,2018,2102400.0
39,서대문구,2018,5750200.0
40,서대문구,2017,7126200.0
41,서대문구,2019,3577180.0
42,서초구,2018,10054840.0
43,서초구,2017,230540.0
44,서초구,2019,5090000.0
45,성동구,2019,7809400.0
46,성동구,2018,3596400.0
47,성동구,2017,3349400.0
48,성북구,2018,3031020.0
49,성북구,2019,4271200.0
50,성북구,2017,1117560.0
51,송파구,2019,7108800.0
52,송파구,2018,6173400.0
53,송파구,2017,1451000.0
54,양천구,2017,1029340.0
55,양천구,2018,4195000.0
56,양천구,2019,2502600.0
57,영등포구,2017,3604000.0
58,영등포구,2019,1817640.0
59,영등포구,2018,1184400.0
60,용산구,2019,4809600.0
61,용산구,2017,2895960.0
62,용산구,2018,3888400.0
63,은평구,2018,1750740.0
64,은평구,2017,3396800.0
65,은평구,2019,2994800.0
66,종로구,2017,2874800.0
67,종로구,2018,1172120.0
68,종로구,2019,3545400.0
69,중구,2018,12822000.0
70,중구,2019,25790000.0
71,중구,2017,14966000.0
72,중랑구,2018,860640.0
73,중랑구,2019,2302200.0
74,중랑구,2017,763200.0
