ID,기간코드,지역코드,개수
0,17,111261,999
1,17,111251,687
2,17,111221,540
3,17,111161,460
4,17,111181,403
5,17,111231,311
6,17,111262,1060
7,17,111142,874
8,17,111301,139
9,17,111151,162
10,17,111191,356
11,17,111273,241
12,17,111141,675
13,17,111212,506
14,17,111274,273
15,17,111152,136
16,17,111291,6
17,17,111201,359
18,17,111311,175
19,17,111131,351
20,17,111281,196
21,17,111121,372
22,17,111241,271
23,17,111123,261
24,17,111171,134
25,18,111261,748
26,18,111251,663
27,18,111221,488
28,18,111161,867
29,18,111181,635
30,18,111231,658
31,18,111262,428
32,18,111142,390
33,18,111301,140
34,18,111151,173
35,18,111191,237
36,18,111273,542
37,18,111141,465
38,18,111212,259
39,18,111274,377
40,18,111152,197
41,18,111291,392
42,18,111201,343
43,18,111311,216
44,18,111131,125
45,18,111281,540
46,18,111121,386
47,18,111241,300
48,18,111123,85
49,18,111171,222
50,19,111261,789
51,19,111251,640
52,19,111221,434
53,19,111161,714
54,19,111181,1057
55,19,111231,65
56,19,111262,358
57,19,111142,262
58,19,111301,274
59,19,111151,1049
60,19,111191,343
61,19,111273,1068
62,19,111141,712
63,19,111212,457
64,19,111274,356
65,19,111152,209
66,19,111291,1000
67,19,111201,494
68,19,111311,320
69,19,111131,307
70,19,111281,369
71,19,111121,155
72,19,111241,322
73,19,111123,9
74,19,111171,198
