ID,기간코드,지역코드,계 20년이상,단독주택 20년이상,아파트 20년이상,20년~30년미만5,다세대주택 20년이상,비거주용 건물내 주택 20년이상,계 30년이상,단독주택 30년이상,아파트 30년이상,연립주택 30년이상,다세대주택 30년이상,비거주용 건물내 주택 30년이상
0,17,111123,"12,450","2,674","2,971","2,755","3,734",316,"11,970","8,656","1,416",957,547,394
1,17,111121,"5,234","1,737","1,047",878,"1,269",303,"6,818","3,960","1,861",257,353,387
2,17,111131,"12,267","4,669","2,251","1,395","3,749",203,"21,108","9,074","8,690",785,"2,129",430
3,17,111142,"19,731","5,401","10,368",435,"3,075",452,"11,376","4,984","4,081","1,301",538,472
4,17,111141,"28,752","8,846","13,490","1,646","4,047",723,"9,688","4,873","2,051","1,569",726,469
5,17,111152,"16,643","7,417","5,071",581,"3,005",569,"17,365","10,899","2,813","1,620","1,290",743
6,17,111151,"41,238","11,153","24,451","1,823","3,054",757,"10,569","6,381",401,"2,182","1,123",482
7,17,111161,"21,778","8,460","2,608","3,250","6,921",539,"19,329","14,857","1,508","1,573",848,543
8,17,111291,"33,132","7,925","9,859","1,834","13,039",475,"12,113","8,867",30,"1,382","1,415",419
9,17,111171,"56,937","4,489","41,219","1,979","8,873",377,"9,797","3,636","3,928",995,"1,017",221
10,17,111311,"112,435","2,410","103,281","1,809","4,592",343,"12,837","3,550","7,918",535,667,167
11,17,111181,"35,440","7,360","6,851","3,593","17,015",621,"14,091","7,500",222,"1,468","4,445",456
12,17,111191,"23,980","4,997","9,781","2,080","6,768",354,"15,853","7,688","3,295","1,694","2,744",432
13,17,111201,"25,380","5,513","8,683","1,410","9,065",709,"15,107","5,373","4,346","1,464","3,527",397
14,17,111301,"38,747","4,918","20,270","1,489","11,671",399,"28,703","2,653","21,103","1,960","2,692",295
15,17,111212,"64,103","5,573","46,692","1,684","9,593",561,"9,020","3,705","1,082","2,260","1,610",363
16,17,111221,"31,154","6,293","15,179","3,293","6,082",307,"15,157","5,060","5,102","2,933","1,687",375
17,17,111281,"13,422","4,484","4,947","1,549","2,295",147,"10,062","4,289","2,891","1,710",917,255
18,17,111231,"23,686","7,792","13,563",316,"1,642",373,"25,006","6,320","16,607",733,744,602
19,17,111241,"37,606","6,956","20,536","2,699","7,052",363,"10,825","6,783",605,"1,099","1,927",411
20,17,111251,"37,400","9,900","10,298","3,659","12,960",583,"15,073","7,974","2,788","1,292","2,549",470
21,17,111262,"25,448","2,745","13,484","3,381","5,130",708,"27,465","2,684","21,954","1,223","1,349",255
22,17,111261,"39,347","3,809","27,901","2,568","4,119",950,"44,790","1,569","39,958","1,293","1,779",191
23,17,111273,"50,274","5,661","29,358","3,791","10,423","1,041","29,007","2,837","23,687",216,"1,930",337
24,17,111274,"19,206","6,298","7,291","2,125","2,934",558,"25,202","3,370","18,202",938,"2,344",348
25,18,111123,"13,407","2,652","3,387","2,776","4,277",315,"12,353","8,580","1,416","1,276",673,408
26,18,111121,"5,396","1,669","1,047",993,"1,394",293,"7,023","4,002","1,863",268,481,409
27,18,111131,"15,642","4,511","5,343","1,605","3,999",184,"21,465","9,235","8,666",798,"2,317",449
28,18,111142,"21,845","5,071","12,667",494,"3,198",415,"11,760","5,321","4,043","1,275",596,525
29,18,111141,"28,750","8,201","13,968","1,877","4,065",639,"11,149","5,431","2,872","1,488",802,556
30,18,111152,"19,103","7,236","7,724",589,"3,025",529,"17,152","10,744","2,813","1,508","1,314",773
31,18,111151,"42,023","10,547","25,925","1,805","3,062",684,"11,051","6,546",711,"2,145","1,089",560
32,18,111161,"29,993","8,165","11,290","3,506","6,543",489,"18,600","14,051","1,509","1,542",925,573
33,18,111291,"33,483","7,778","10,654","2,063","12,554",434,"13,289","8,919",30,"1,604","2,273",463
34,18,111171,"55,073","4,416","39,270","2,238","8,807",342,"13,329","3,683","7,102","1,067","1,216",261
35,18,111311,"83,164","2,319","73,768","2,004","4,756",317,"49,077","3,422","44,316",453,699,187
36,18,111181,"33,264","6,976","5,407","3,857","16,455",569,"16,607","7,482","2,673","1,384","4,583",485
37,18,111191,"23,818","4,819","9,809","2,260","6,578",352,"16,348","7,415","3,950","1,658","2,885",440
38,18,111201,"25,815","5,385","9,677","1,458","8,614",681,"15,924","5,291","4,826","1,269","4,118",420
39,18,111301,"29,451","4,496","13,563","1,606","9,438",348,"40,707","2,796","30,610","1,981","4,985",335
40,18,111212,"66,219","5,285","48,589","2,050","9,763",532,"9,550","3,965","1,402","2,057","1,720",406
41,18,111221,"31,237","5,853","15,817","2,987","6,288",292,"18,725","5,365","7,772","3,468","1,726",394
42,18,111281,"15,390","3,867","7,401","1,653","2,339",130,"10,448","4,739","2,891","1,659",887,272
