ID,기간코드,지역코드,전체인구,등록_외국인
0,17,111123,"164,257","9,487"
1,17,111121,"134,593","8,884"
2,17,111131,"244,444","15,283"
3,17,111142,"312,711","7,903"
4,17,111141,"372,298","14,595"
5,17,111152,"366,011","15,364"
6,17,111151,"412,780","4,554"
7,17,111161,"455,407","11,352"
8,17,111291,"328,002","3,523"
9,17,111171,"346,234","2,068"
10,17,111311,"558,075","3,672"
11,17,111181,"491,202","4,408"
12,17,111191,"325,028","12,228"
13,17,111201,"385,783","10,868"
14,17,111301,"475,018","3,864"
15,17,111212,"608,255","6,564"
16,17,111221,"441,559","30,817"
17,17,111281,"253,491","18,337"
18,17,111231,"402,024","33,474"
19,17,111241,"408,493","12,276"
20,17,111251,"520,929","17,632"
21,17,111262,"445,401","4,299"
22,17,111261,"561,052","4,888"
23,17,111273,"671,173","6,677"
24,17,111274,"440,359","4,136"
25,18,111123,"163,026","9,961"
26,18,111121,"135,633","9,908"
27,18,111131,"245,090","16,091"
28,18,111142,"316,463","8,242"
29,18,111141,"371,063","15,504"
30,18,111152,"364,338","16,286"
31,18,111151,"408,147","4,938"
32,18,111161,"447,687","11,819"
33,18,111291,"322,915","3,751"
34,18,111171,"341,649","2,236"
35,18,111311,"548,160","4,408"
36,18,111181,"487,666","4,469"
37,18,111191,"323,080","12,767"
38,18,111201,"386,359","11,282"
39,18,111301,"468,145","3,960"
40,18,111212,"603,611","6,662"
41,18,111221,"438,486","33,989"
42,18,111281,"254,021","20,104"
43,18,111231,"403,600","35,822"
44,18,111241,"409,385","13,182"
45,18,111251,"520,040","18,083"
46,18,111262,"438,163","4,212"
47,18,111261,"547,453","5,089"
48,18,111273,"673,507","6,872"
49,18,111274,"431,920","4,347"
50,19,111123,"161,869","10,579"
51,19,111121,"136,488","10,317"
52,19,111131,"245,185","16,515"
53,19,111142,"308,979","8,090"
54,19,111141,"366,972","15,622"
55,19,111152,"363,023","16,829"
56,19,111151,"402,024","5,009"
57,19,111161,"454,744","12,094"
58,19,111291,"317,695","3,741"
59,19,111171,"335,631","2,269"
60,19,111311,"537,303","4,398"
61,19,111181,"484,546","4,514"
62,19,111191,"323,171","13,774"
63,19,111201,"385,925","11,890"
64,19,111301,"462,285","4,120"
65,19,111212,"598,273","6,477"
66,19,111221,"439,371","32,707"
67,19,111281,"251,820","19,010"
68,19,111231,"400,986","33,308"
69,19,111241,"408,912","12,949"
70,19,111251,"517,334","17,240"
71,19,111262,"435,107","4,281"
72,19,111261,"550,209","5,040"
73,19,111273,"682,741","6,780"
74,19,111274,"440,390","4,323"
