ID,기간코드,지역코드,총생활인구수,일최대인구수,일최소인구수,주간인구수,야간인구수,일최대이동인구수,자치구간이동인구수
0,19,111311,525648.3338000006,560838.1220678977,486834.13776477263,495530.8425394887,547160.8275610794,225552.32835085227,61246.224666761394
1,19,111191,411521.1562809658,429216.3172355117,396103.2379732957,421127.16775653383,404659.7195190342,221025.20590113642,104248.61838948862
2,18,111311,534523.8568321036,573255.4983649447,492938.40313579346,502049.78454612574,557299.0646103319,238774.63492693723,65213.02902177122
3,19,111171,285082.0775167615,309150.4229579546,257350.07282500024,264568.5435892045,299734.6017568181,138343.57426704557,40075.724514488626
4,18,111131,328479.2245974168,364701.27615535073,287681.6542084871,355906.28167047945,308629.9646896681,206633.5103457565,101345.23649040594
5,18,111212,568327.8222118083,604706.5424413285,531389.5266568264,540705.049186716,587611.4060546134,266577.7384261992,65955.98736863467
6,19,111131,325658.38945312484,358669.0362565339,289521.1580284088,351826.10151420435,306967.1665613637,198216.36659147742,95850.8266744318
7,19,111261,851878.220641477,1047966.1229321017,678469.7961588069,1005556.0835090908,742108.318595739,612055.8208349425,297018.4783582384
8,18,111301,405548.5739424358,437437.67076383776,369614.5040667897,378942.34526273067,424234.5704250921,196049.2512442805,64485.372565682665
9,19,111121,365234.3581053975,510684.17910284107,245030.67648636355,473655.6175397731,287790.6013625,326327.19627272733,204494.00128352287
10,18,111151,370736.01928265695,409170.1707254613,328084.8957664209,338841.6941472327,393223.27026014787,170281.95352361628,41149.89326531366
11,18,111123,357385.4774121772,489711.7084535056,257275.12206752773,449843.37166494457,291070.9560077491,313043.3162878227,189115.6050630997
12,18,111221,434505.2878461253,450150.31371586723,419697.2921627305,428217.738516605,438655.4449535054,221714.7441247231,75543.02779704802
13,19,111273,781905.4957494319,806094.2786661925,763797.2924542606,786327.0110556815,778747.2705338072,404925.6270156251,121163.59009034092
14,18,111142,368086.71332177107,384607.7353627307,352437.1813848711,375332.49867896666,362624.20203173446,209648.75680442798,99311.63856162361
