ID,지역코드,기간코드,인허가일자,지번주소
0,111123,18,20181219,서울특별시 종로구 인사동 75-4 세인빌딩
1,111141,17,19800408,서울특별시 광진구 군자동 355-12
2,111274,17,20000623,서울특별시 강동구 길동 413-14
3,111251,17,20130724,서울특별시 관악구 신림동 1655
4,111121,17,20061124,서울특별시 중구 을지로1가 42 (지하1층)
5,111181,17,20020218,서울특별시 은평구 불광동 281-100 (지하1층)
6,111262,17,19910114,서울특별시 서초구 서초동 1337-11
7,111262,17,19900702,서울특별시 서초구 서초동 1330-20 지층1호
8,111262,17,19841201,서울특별시 서초구 서초동 1596-1 (지하층?)
9,111261,19,20191112,서울특별시 강남구 삼성동 143-26 에이스
10,111212,17,20000229,서울특별시 강서구 화곡동 1117-13 (지하 1층)
11,111201,17,20150616,서울특별시 마포구 도화동 544 지하1층 16호
12,111261,17,19860605,서울특별시 강남구 역삼동 648-3
13,111152,17,19710819,서울특별시 동대문구 전농동 295-7 지하1층
14,111261,17,20001212,서울특별시 강남구 삼성동 144-21
15,111152,17,20080826,서울특별시 동대문구 장안동 464-1
16,111281,17,19990612,서울특별시 금천구 시흥동 889-13 지하1층 (시흥대로 475)
17,111274,17,20110303,서울특별시 강동구 길동 458-3
18,111251,17,20131122,서울특별시 관악구 신림동 1433-32
19,111261,17,19820610,서울특별시 강남구 논현동 237-5번지
20,111123,17,19740430,서울특별시 종로구 관수동 20-0번지
21,111221,17,20000214,서울특별시 구로구 오류동 33-40번지
22,111273,19,20190712,서울특별시 송파구 석촌동 158번지 호텔 레이크 지하2층
23,111273,17,20021212,서울특별시 송파구 석촌동 158번지 호텔 레이크 지하3층
24,111261,17,20001103,서울특별시 강남구 역삼동 678-32번지
25,111123,17,20030519,서울특별시 종로구 신문로1가 29번지
26,111123,17,19740430,서울특별시 종로구 견지동 87-1번지
27,111274,17,20130612,서울특별시 강동구 길동 458-3번지 1층
28,111291,17,20010507,서울특별시 강북구 수유동 191-30번지 (지하1층)
29,111131,17,19700420,서울특별시 용산구 이태원동 136-45 (지상2층)
30,111123,17,19921228,서울특별시 종로구 장사동 227-1번지
31,111123,17,19921123,서울특별시 종로구 평창동 108-2번지
32,111123,17,19911019,서울특별시 종로구 와룡동 40-2번지
33,111123,17,19910305,서울특별시 종로구 청진동 296-1번지
34,111123,17,19901211,서울특별시 종로구 낙원동 197-1번지 지하1층
35,111123,17,19901031,서울특별시 종로구 평창동 73-2번지
36,111123,17,19900412,서울특별시 종로구 당주동 100-0번지 지1층35호
37,111123,17,19860502,서울특별시 종로구 관수동 154-1번지
38,111123,17,19860129,서울특별시 종로구 당주동 171-0번지
39,111123,17,19751220,서울특별시 종로구 익선동 137-6번지
40,111123,17,19751216,서울특별시 종로구 예지동 179-2번지
41,111123,17,19751216,서울특별시 종로구 돈의동 144번지
42,111123,17,19751002,서울특별시 종로구 평창동 113-1번지
43,111123,17,19751001,서울특별시 종로구 송월동 32-43번지
44,111123,17,19750626,서울특별시 종로구 관철동 12-16번지
45,111123,17,19750528,서울특별시 종로구 창신동 444-14번지
46,111123,17,19750302,서울특별시 종로구 장사동 182-9번지
47,111123,17,19750122,서울특별시 종로구 창신동 436-65번지 지하동
48,111123,17,20050926,서울특별시 종로구 청진동 297번지 지상1층
49,111123,17,19750104,서울특별시 종로구 관철동 22-0번지
50,111123,17,19990629,서울특별시 종로구 당주동 2-3번지
51,111123,17,19990622,서울특별시 종로구 종로1가 24-0번지
52,111123,17,19990517,서울특별시 종로구 숭인동 201-25번지
53,111123,17,19990408,서울특별시 종로구 와룡동 122-0번지
54,111123,17,19940729,서울특별시 종로구 종로6가 242-1번지
55,111123,17,19741223,서울특별시 종로구 관수동 130-1번지
56,111123,17,19741212,서울특별시 종로구 관철동 12-16번지
57,111123,17,19741114,서울특별시 종로구 평창동 113-1번지
58,111123,17,19741023,서울특별시 종로구 청진동 175-0번지
59,111123,17,19740625,서울특별시 종로구 숭인동 200-25번지 (지상2층)
60,111123,17,19740607,서울특별시 종로구 운니동 37-2번지
61,111123,17,19740530,서울특별시 종로구 종로2가 8-4번지
62,111123,17,19991218,서울특별시 종로구 종로5가 478-0번지
63,111123,17,19991218,서울특별시 종로구 교북동 90-1번지 지하1층
64,111123,17,19841006,서울특별시 종로구 돈의동 45-1번지
65,111123,17,19840908,서울특별시 종로구 낙원동 148-0번지
66,111123,17,19840811,서울특별시 종로구 숭인동 1252-0번지
67,111123,17,19840802,서울특별시 종로구 낙원동 169-1번지
68,111123,17,19840623,서울특별시 종로구 견지동 92-1번지 지하1층
69,111123,17,19840605,서울특별시 종로구 관철동 13-3번지
70,111123,17,19840530,서울특별시 종로구 낙원동 149-0번지
71,111123,17,19840529,서울특별시 종로구 종로6가 155-1번지
72,111123,17,19840522,서울특별시 종로구 종로6가 185-3번지
73,111123,17,19840327,서울특별시 종로구 종로3가 157번지 지하1층
74,111123,17,19991014,서울특별시 종로구 창신동 436-79번지
75,111123,17,19830603,서울특별시 종로구 낙원동 138-1번지
76,111123,17,19820123,서울특별시 종로구 청진동 92번지 지상1층
77,111123,17,19810801,서울특별시 종로구 익선동 56-0번지
78,111123,17,19810730,서울특별시 종로구 관수동 20번지
79,111123,17,19850625,서울특별시 종로구 숭인동 1395-0번지
80,111123,17,19850607,서울특별시 종로구 낙원동 33-0번지
81,111123,17,19850518,서울특별시 종로구 종로5가 54-0번지
82,111123,17,19850403,서울특별시 종로구 관철동 12-6번지
83,111123,17,19850322,서울특별시 종로구 관철동 7-11번지
84,111123,17,20060403,서울특별시 종로구 종로6가 244-15번지 지상3층
85,111123,17,20060223,서울특별시 종로구 종로5가 231-9번지 지상2층
86,111123,17,20010417,서울특별시 종로구 운니동 65-1번지  동  호
87,111123,17,20010409,서울특별시 종로구 당주동 168-0번지
88,111123,17,20010327,서울특별시 종로구 당주동 19-0번지 삼한빌딩 지하1층  동  호
89,111123,17,20010327,서울특별시 종로구 당주동 19-0번지 삼한빌딩 2층  동  호
90,111123,17,20010316,서울특별시 종로구 적선동 122-1번지
91,111123,17,20011128,서울특별시 종로구 창신동 460-1번지
92,111123,17,20011008,서울특별시 종로구 교북동 12-14번지
93,111123,17,20010924,서울특별시 종로구 연지동 254-1번지
94,111123,17,20010918,서울특별시 종로구 낙원동 175-0번지
95,111123,17,20010903,서울특별시 종로구 청진동 152번지 지하1층
96,111123,17,20010827,서울특별시 종로구 청진동 295-0번지 지하
97,111123,17,20010822,서울특별시 종로구 청진동 256-1번지
98,111123,17,20010821,서울특별시 종로구 창신동 378-0번지
99,111123,17,20010706,서울특별시 종로구 낙원동 132-2번지 (지하1층)
100,111123,17,20020906,서울특별시 종로구 종로5가 49-1번지
101,111123,17,20020723,서울특별시 종로구 연지동 273번지
102,111123,17,20020705,서울특별시 종로구 종로1가 28번지
103,111123,17,20020702,서울특별시 종로구 신문로1가 2번지
104,111123,17,20020612,서울특별시 종로구 청진동 73번지
105,111123,17,20030704,서울특별시 종로구 원남동 189-12번지 외5필지 지하1층
106,111123,17,20030701,서울특별시 종로구 청진동 82번지 지상1층
107,111123,17,20001127,서울특별시 종로구 창신동 328-18번지
108,111123,17,20001117,서울특별시 종로구 효제동 145번지 지상1층
109,111123,17,20001116,서울특별시 종로구 당주동 19-0번지
110,111123,17,20001018,서울특별시 종로구 숭인동 201-13번지
111,111123,17,20000830,서울특별시 종로구 효제동 236-0번지
112,111123,17,20000822,서울특별시 종로구 창신동 464-8번지 지상2층
113,111123,17,20000814,서울특별시 종로구 창신동 402-9번지
114,111123,17,20030613,서울특별시 종로구 청진동 125-1번지 지상2층
115,111123,17,20000804,서울특별시 종로구 숭인동 201-6번지
116,111123,17,20000715,서울특별시 종로구 도렴동 113-1번지
117,111123,17,20000713,서울특별시 종로구 숭인동 280-0번지
118,111123,17,20040420,서울특별시 종로구 인의동 28-26번지
119,111123,17,20040413,서울특별시 종로구 종로5가 182-6번지 지상2층
120,111123,17,20040220,서울특별시 종로구 평창동 66-50번지 외 2필지(지하1층)
121,111123,17,20031106,서울특별시 종로구 관철동 42-3번지
