ID,기간코드,지역코드,인구,면적,인구밀도
0,17,111123,"164,257",23.91,"6,869"
1,17,111121,"134,593",9.96,"13,514"
2,17,111131,"244,444",21.87,"11,179"
3,17,111142,"312,711",16.86,"18,551"
4,17,111141,"372,298",17.06,"21,819"
5,17,111152,"366,011",14.22,"25,748"
6,17,111151,"412,780",18.5,"22,318"
7,17,111161,"455,407",24.57,"18,533"
8,17,111291,"328,002",23.6,"13,898"
9,17,111171,"346,234",20.67,"16,752"
10,17,111311,"558,075",35.44,"15,748"
11,17,111181,"491,202",29.71,"16,534"
12,17,111191,"325,028",17.63,"18,440"
13,17,111201,"385,783",23.85,"16,174"
14,17,111301,"475,018",17.41,"27,289"
15,17,111212,"608,255",41.44,"14,679"
16,17,111221,"441,559",20.12,"21,946"
17,17,111281,"253,491",13.02,"19,469"
18,17,111231,"402,024",24.55,"16,377"
19,17,111241,"408,493",16.35,"24,978"
20,17,111251,"520,929",29.57,"17,617"
21,17,111262,"445,401",46.99,"9,480"
22,17,111261,"561,052",39.5,"14,203"
23,17,111273,"671,173",33.87,"19,813"
24,17,111274,"440,359",24.59,"17,909"
25,18,111123,"163,026",23.91,"6,817"
26,18,111121,"135,633",9.96,"13,618"
27,18,111131,"245,090",21.87,"11,209"
28,18,111142,"316,463",16.86,"18,771"
29,18,111141,"371,063",17.06,"21,746"
30,18,111152,"364,338",14.22,"25,630"
31,18,111151,"408,147",18.5,"22,067"
32,18,111161,"447,687",24.57,"18,218"
33,18,111291,"322,915",23.6,"13,683"
34,18,111171,"341,649",20.67,"16,531"
35,18,111311,"548,160",35.44,"15,468"
36,18,111181,"487,666",29.71,"16,415"
37,18,111191,"323,080",17.62,"18,331"
38,18,111201,"386,359",23.85,"16,199"
39,18,111301,"468,145",17.41,"26,894"
40,18,111212,"603,611",41.44,"14,567"
41,18,111221,"438,486",20.12,"21,793"
42,18,111281,"254,021",13.02,"19,510"
43,18,111231,"403,600",24.55,"16,441"
44,18,111241,"409,385",16.35,"25,032"
45,18,111251,"520,040",29.57,"17,587"
46,18,111262,"438,163",46.98,"9,326"
47,18,111261,"547,453",39.5,"13,859"
48,18,111273,"673,507",33.87,"19,883"
49,18,111274,"431,920",24.59,"17,564"
50,19,111123,"161,869",23.91,"6,769"
51,19,111121,"136,488",9.96,"13,704"
52,19,111131,"245,185",21.87,"11,213"
53,19,111142,"308,979",16.86,"18,327"
54,19,111141,"366,972",17.06,"21,507"
55,19,111152,"363,023",14.22,"25,537"
56,19,111151,"402,024",18.5,"21,736"
57,19,111161,"454,744",24.57,"18,505"
58,19,111291,"317,695",23.6,"13,462"
59,19,111171,"335,631",20.66,"16,245"
60,19,111311,"537,303",35.44,"15,162"
61,19,111181,"484,546",29.71,"16,308"
62,19,111191,"323,171",17.63,"18,335"
63,19,111201,"385,925",23.85,"16,180"
64,19,111301,"462,285",17.41,"26,559"
65,19,111212,"598,273",41.44,"14,438"
66,19,111221,"439,371",20.12,"21,837"
67,19,111281,"251,820",13.02,"19,341"
68,19,111231,"400,986",24.55,"16,334"
69,19,111241,"408,912",16.35,"25,003"
70,19,111251,"517,334",29.57,"17,496"
71,19,111262,"435,107",46.98,"9,261"
72,19,111261,"550,209",39.5,"13,929"
73,19,111273,"682,741",33.87,"20,156"
74,19,111274,"440,390",24.59,"17,909"
