ID,지역코드,경찰서,주소,치안센터명
0,111261,서울강남경찰서,서울 강남구 삼성로 761,청담2치안센터
1,111261,서울강남경찰서,서울 강남구 압구정로 33길 48,압구정치안센터
2,111261,서울수서경찰서,서울 강남구 남부순환로378길29,도곡치안센터
3,111261,서울수서경찰서,서울 강남구 역삼로 117,역서치안센터
4,111261,서울수서경찰서,서울 강남구 삼성로 236,은마치안센터
5,111261,서울수서경찰서,서울 강남구 밤고개로 99,수서역치안센터
6,111274,서울강동경찰서,서울 강동구 천호동 전중로 11-14,천호2치안센터
7,111274,서울강동경찰서,서울 강동구 천호동 천호대로 159길7,천호3치안센터
8,111274,서울강동경찰서,서울 강동구 천호대로 197길 96,길동2치안센터
9,111274,서울강동경찰서,서울 강동구 올림픽로 98가길 57,암사1치안센터
10,111274,서울강동경찰서,서울 강동구 구면천로 42길 59,천호1치안센터
11,111274,서울강동경찰서,서울 강동구 천호옛길 68-1,성내2치안센터
12,111274,서울강동경찰서,서울 강동구 양재대로 138길37,명일1치안센터
13,111291,서울강북경찰서,서울 강북구 솔매로49길 14,동화치안센터
14,111291,서울강북경찰서,서울 강북구 삼양로54길 51,미아3치안센터
15,111291,서울강북경찰서,서울 강북구 도봉로39길,숭인치안센터
16,111291,서울강북경찰서,서울 강북구 삼양로678(현 컨테이너),우이치안센터
17,111291,서울강북경찰서,서울 강북구 삼양로 119길 45,수유6치안센터
18,111212,서울강서경찰서,서울 강서구 까치산로 51,화곡본동치안센터
19,111212,서울강서경찰서,서울 강서구 개화동로 275-1,개화2치안센터
20,111251,서울관악경찰서,서울 관악구 봉천로 279,보라매치안센터
21,111251,서울관악경찰서,서울 관악구 남부순환로239길 8,행운치안센터
22,111251,서울관악경찰서,서울 관악구 인헌6길 23,인헌치안센터
23,111251,서울관악경찰서,서울 관악구 신원로 311,서원치안센터
24,111251,서울관악경찰서,서울 관악구 문성로27길 12-15,신원치안센터
25,111251,서울관악경찰서,서울 관악구 참숯1길 3,청룡2치안센터
26,111251,서울관악경찰서,서울 관악구 대학길 48,대학동치안센터
27,111251,서울관악경찰서,서울 관악구 호암로 501,삼성치안센터
28,111251,서울관악경찰서,서울 관악구 청림3마길 14-1,청림치안센터
29,111251,서울관악경찰서,서울 관악구 난곡로 180-1,난곡치안센터
30,111141,서울광진경찰서,서울 광진구 자양로3가길 28,자양2치안센터
31,111141,서울광진경찰서,서울 광진구 광나루로56길 4,구의3치안센터
32,111221,서울구로경찰서,서울 구로구 경인로 577-1,구로치안센터
33,111221,서울구로경찰서,서울 구로구 신도림로 40,신도림치안센터
34,111221,서울구로경찰서,서울 구로구 구로동로 141,구로2치안센터
35,111221,서울구로경찰서,서울 구로구 중앙로 3,고척1치안센터
36,111221,서울구로경찰서,서울 구로구 고척로27길 27,개봉1치안센터
37,111221,서울구로경찰서,서울 구로구 경인로 293,개봉치안센터
38,111221,서울구로경찰서,서울 구로구 개봉로 1가길 28,개봉3치안센터
39,111221,서울구로경찰서,서울 구로구 부일로 1길 68,수궁치안센터
40,111281,서울금천경찰서,서울 금천구 문성로 38,독산3치안센터
41,111281,서울금천경찰서,서울 금천구 시흥대로 148길 21-5,독산본치안센터
42,111281,서울금천경찰서,서울 금천구 독산로50길 105,시흥4치안센터
43,111281,서울금천경찰서,서울 금천구 금하로24다길 7,시흥5치안센터
44,111281,서울금천경찰서,서울 금천구 금하로 11길 40,시흥본치안센터
45,111281,서울금천경찰서,서울 금천구 시흥대로37길 18,시흥3치안센터
46,111281,서울금천경찰서,서울 금천구 한내로 69-17,신독산치안센터
47,111311,서울노원경찰서,서울 노원구 공릉로 290,하계1치안센터
48,111311,서울노원경찰서,서울 노원구 석계로 93,월계치안센터
49,111311,서울노원경찰서,서울 노원구 초안산로 2,월계2치안센터
50,111311,서울노원경찰서,서울 노원구 마들로 55,월계3치안센터
51,111311,서울노원경찰서,서울 노원구 공릉로 189,공릉치안센터
52,111311,서울노원경찰서,서울 노원구 중계로 139,중계본치안센터
53,111311,서울노원경찰서,서울 노원구 상계로35길29,상계4치안센터
54,111311,서울노원경찰서,서울 노원구 동일로227길97,상계8치안센터
55,111171,서울도봉경찰서,서울 도봉구 방학로 12길 18,방학2치안센터
56,111152,서울동대문경찰서,서울 동대문 고미술로 93,답십리1치안센터
57,111152,서울동대문경찰서,서울 동대문 한천로11길 30,답십리2치안센터
58,111152,서울동대문경찰서,서울 동대문구 왕산로 5,신설치안센터
59,111152,서울동대문경찰서,서울 동대문구 왕산로 95,용두치안센터
60,111152,서울동대문경찰서,서울 동대문구 시립대로 14길 31,전농4치안센터
61,111152,서울동대문경찰서,서울 동대문구 한천로 10길 4,남장안치안센터
62,111152,서울동대문경찰서,서울 동대문구 장안로18길 78,장안3치안센터
63,111152,서울동대문경찰서,서울 동대문구 이문로 196,이문2치안센터
64,111152,서울동대문경찰서,서울 동대문구 망우로 20길 4,휘경2치안센터
65,111241,서울동작경찰서,서울 동작구 현충로56,노들치안센터
66,111241,서울동작경찰서,서울 동작구 현충로140-1,흑석2치안센터
67,111241,서울동작경찰서,서울 동작구 장승배기로 73,상도2치안센터
68,111241,서울동작경찰서,서울 동작구 성대로29길 61,상도4치안센터
69,111241,서울동작경찰서,서울 동작구 상도로 62길 1,상도1치안센터
70,111241,서울동작경찰서,서울 동작구 동작대로43길6,사당3치안센터
71,111241,서울동작경찰서,서울 동작구 사당로 16아길 6,사당4치안센터
72,111241,서울동작경찰서,서울 동작구 사당로 138,사당5치안센터
73,111241,서울동작경찰서,서울 동작구 여의대방로 24길 106,신대방2치안센터
74,111241,서울동작경찰서,서울 동작구 상도로 87,상도3치안센터
75,111201,서울마포경찰서,서울 마포구 환일길 3,아현치안센터
76,111201,서울마포경찰서,서울 마포구 도화길 40,도화치안센터
