년도,지역구,남녀성비,남자인구수,여자인구수
2017,소계,96.1,"4,830,206","5,027,220"
2017,종로구,96.4,"75,967","78,803"
2017,중구,98.1,"62,253","63,456"
2017,용산구,93.7,"110,878","118,283"
2017,성동구,97.4,"150,368","154,440"
2017,광진구,95.2,"174,414","183,289"
2017,동대문구,100.0,"175,324","175,323"
2017,중랑구,99.2,"203,325","204,901"
2017,성북구,95.2,"216,556","227,499"
2017,강북구,96.0,"158,918","165,561"
2017,도봉구,96.2,"168,759","175,407"
2017,노원구,94.6,"269,508","284,895"
2017,은평구,94.4,"236,353","250,441"
2017,서대문구,93.5,"151,144","161,656"
2017,마포구,91.3,"178,939","195,976"
2017,양천구,97.4,"232,518","238,636"
2017,강서구,94.9,"292,989","308,702"
2017,구로구,98.7,"204,003","206,739"
2017,금천구,103.3,"119,497","115,657"
2017,영등포구,99.7,"183,975","184,575"
2017,동작구,95.2,"193,255","202,962"
2017,관악구,101.6,"253,661","249,636"
2017,서초구,91.9,"211,236","229,866"
2017,강남구,92.0,"266,442","289,722"
2017,송파구,94.7,"323,147","341,349"
2017,강동구,98.8,"216,777","219,446"
2018,소계,95.6,"4,773,899","4,991,724"
2018,종로구,95.6,"74,825","78,240"
2018,중구,97.1,"61,947","63,778"
2018,용산구,93.5,"110,640","118,359"
2018,성동구,96.5,"151,359","156,862"
2018,광진구,94.5,"172,794","182,765"
2018,동대문구,99.5,"173,567","174,485"
2018,중랑구,98.8,"200,419","202,790"
2018,성북구,94.6,"211,904","223,964"
2018,강북구,95.7,"156,071","163,093"
2018,도봉구,95.9,"166,160","173,253"
2018,노원구,94.3,"263,919","279,833"
2018,은평구,93.7,"233,702","249,495"
2018,서대문구,93.0,"149,569","160,744"
2018,마포구,90.6,"178,240","196,837"
2018,양천구,97.1,"228,634","235,551"
2018,강서구,94.5,"290,079","306,870"
2018,구로구,98.2,"200,417","204,080"
2018,금천구,103.4,"118,915","115,002"
2018,영등포구,99.3,"183,224","184,554"
2018,동작구,94.5,"192,533","203,670"
2018,관악구,100.9,"252,160","249,797"
2018,서초구,91.9,"207,868","226,083"
2018,강남구,91.8,"259,611","282,753"
2018,송파구,94.3,"323,526","343,109"
2018,강동구,98.2,"211,816","215,757"
2019,소계,95.2,"4,744,059","4,985,048"
2019,종로구,95.1,"73,746","77,544"
2019,중구,96.3,"61,910","64,261"
2019,용산구,93.3,"110,356","118,314"
2019,성동구,95.9,"147,273","153,616"
2019,광진구,94.0,"170,262","181,088"
2019,동대문구,98.9,"172,113","174,081"
2019,중랑구,98.5,"196,959","200,056"
2019,성북구,94.0,"214,437","228,213"
2019,강북구,95.3,"153,235","160,719"
2019,도봉구,95.7,"163,051","170,311"
2019,노원구,93.8,"257,923","274,982"
2019,은평구,93.2,"231,528","248,504"
2019,서대문구,92.5,"148,663","160,734"
2019,마포구,89.7,"176,891","197,144"
2019,양천구,96.7,"225,186","232,979"
2019,강서구,93.9,"286,563","305,233"
2019,구로구,97.7,"200,987","205,677"
2019,금천구,103.1,"118,209","114,601"
2019,영등포구,98.5,"182,438","185,240"
2019,동작구,94.1,"191,976","203,987"
2019,관악구,100.8,"251,009","249,085"
2019,서초구,91.7,"206,039","224,787"
2019,강남구,91.7,"260,806","284,363"
2019,송파구,93.8,"327,164","348,797"
2019,강동구,97.6,"215,335","220,732"
