지역구,5대범죄/여성1인가구(2017),5대범죄/여성1인가구(2018),5대범죄/여성1인가구(2019)
중구,40.47,37.48,35.35
종로구,33.68,29.08,28.99
영등포구,23.69,22.13,20.2
용산구,22.68,18.49,18.01
구로구,22.64,21.6,19.81
금천구,22.33,21.27,19.28
양천구,21.76,19.02,17.85
강남구,21.29,20.86,19.83
서초구,21.19,20.5,19.79
강동구,20.3,18.04,16.67
중랑구,19.42,17.5,16.36
마포구,17.52,16.24,15.4
송파구,17.45,16.73,15.35
광진구,16.45,13.37,12.76
강북구,15.95,15.37,14.77
동대문구,15.06,13.38,12.7
은평구,15.05,13.2,12.13
노원구,14.76,13.53,13.01
성동구,14.48,12.05,11.72
강서구,13.99,11.8,10.73
서대문구,12.69,11.1,10.66
도봉구,12.21,13.03,12.32
동작구,11.91,10.54,9.89
성북구,11.57,10.02,9.6
관악구,11.1,9.43,8.78
