,기간,지역구,5대범죄,1인여성가구,1인여성가구 대비 5대범죄발생
0,2017,종로구,4057.0,12044,34.0
1,2017,중구,4184.0,10338,40.0
2,2017,용산구,4060.0,17900,23.0
3,2017,성동구,2767.0,19103,14.0
4,2017,광진구,4646.0,28236,16.0
5,2017,동대문구,3975.0,26392,15.0
6,2017,중랑구,4571.0,23543,19.0
7,2017,성북구,3434.0,29683,12.0
8,2017,강북구,3393.0,21273,16.0
9,2017,도봉구,1999.0,16376,12.0
10,2017,노원구,4209.0,28525,15.0
11,2017,은평구,3883.0,25808,15.0
12,2017,서대문구,3113.0,24527,13.0
13,2017,마포구,5278.0,30126,18.0
14,2017,양천구,3882.0,17836,22.0
15,2017,강서구,5135.0,36703,14.0
16,2017,구로구,4895.0,21618,23.0
17,2017,금천구,3265.0,14623,22.0
18,2017,영등포구,5969.0,25198,24.0
19,2017,동작구,3330.0,27966,12.0
20,2017,관악구,5525.0,49787,11.0
21,2017,서초구,4708.0,22219,21.0
22,2017,강남구,7720.0,36259,21.0
23,2017,송파구,5576.0,31947,17.0
24,2017,강동구,4261.0,20986,20.0
25,2018,종로구,3690.0,12691,29.0
26,2018,중구,4030.0,10751,37.0
27,2018,용산구,3411.0,18446,18.0
28,2018,성동구,2457.0,20397,12.0
29,2018,광진구,3915.0,29280,13.0
30,2018,동대문구,3680.0,27495,13.0
31,2018,중랑구,4288.0,24496,18.0
32,2018,성북구,3042.0,30359,10.0
33,2018,강북구,3437.0,22364,15.0
34,2018,도봉구,2249.0,17262,13.0
35,2018,노원구,4007.0,29606,14.0
36,2018,은평구,3590.0,27194,13.0
37,2018,서대문구,2802.0,25242,11.0
38,2018,마포구,5172.0,31845,16.0
39,2018,양천구,3515.0,18477,19.0
40,2018,강서구,4629.0,39231,12.0
41,2018,구로구,4810.0,22264,22.0
42,2018,금천구,3293.0,15485,21.0
43,2018,영등포구,5840.0,26387,22.0
44,2018,동작구,3100.0,29420,11.0
45,2018,관악구,5026.0,53288,9.0
46,2018,서초구,4726.0,23055,20.0
47,2018,강남구,7513.0,36009,21.0
48,2018,송파구,5807.0,34711,17.0
49,2018,강동구,3919.0,21722,18.0
50,2019,종로구,3846.0,12729,30.0
51,2019,중구,4327.0,11401,38.0
52,2019,용산구,3313.0,18944,17.0
53,2019,성동구,2512.0,20963,12.0
54,2019,광진구,4011.0,30679,13.0
55,2019,동대문구,3692.0,28976,13.0
56,2019,중랑구,4268.0,26208,16.0
57,2019,성북구,2877.0,31701,9.0
58,2019,강북구,3838.0,23274,16.0
59,2019,도봉구,2110.0,18257,12.0
60,2019,노원구,4153.0,30809,13.0
61,2019,은평구,3880.0,29605,13.0
62,2019,서대문구,2943.0,26288,11.0
63,2019,마포구,4842.0,33577,14.0
64,2019,양천구,3214.0,19687,16.0
65,2019,강서구,4924.0,43142,11.0
66,2019,구로구,4707.0,24285,19.0
67,2019,금천구,3105.0,17079,18.0
68,2019,영등포구,5820.0,28917,20.0
69,2019,동작구,3400.0,31342,11.0
70,2019,관악구,5328.0,57263,9.0
71,2019,서초구,5542.0,23875,23.0
72,2019,강남구,7304.0,37886,19.0
73,2019,송파구,5698.0,37825,15.0
74,2019,강동구,4014.0,23514,17.0
